Respondent,Professional,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,CareerSatisfaction,JobSatisfaction,TabsSpaces,IDE,Methodology,Gender,HighestEducationParents,Race,Salary
34881,Professional developer,Bachelor's degree,Computer science or software engineering,Never,I don't know,"Privately-held limited company, not in startup mode",20 or more years,12 to 13 years,8,5,Both,Notepad++; Visual Studio; Visual Studio Code,NA,Male,High school,White or of European descent,1.06E+05
34902,Professional developer,Secondary school,NA,"Less than half the time, but at least one day each week",Fewer than 10 employees,Venture-funded startup,20 or more years,19 to 20 years,9,5,Tabs,Android Studio; Visual Studio; Xcode,NA,Male,A bachelor's degree,White or of European descent,1.45E+05
34904,Professional developer,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",10 to 11 years,2 to 3 years,7,8,Spaces,Vim; PyCharm; Visual Studio; Visual Studio Code,NA,Male,A bachelor's degree,White or of European descent,6.00E+04
34915,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,500 to 999 employees,Something else,9 to 10 years,1 to 2 years,6,6,Tabs,Visual Studio; Visual Studio Code,Agile; Scrum; Pair,Male,A professional degree,White or of European descent,1.28E+05
34920,Professional developer,Doctoral degree,Computer engineering or electrical/electronics engineering,A few days each month,10 to 19 employees,Pre-series A startup,17 to 18 years,11 to 12 years,9,6,Spaces,Emacs; Vim,NA,Male,A master's degree,White or of European descent,1.60E+05
34922,Professional developer,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,Venture-funded startup,7 to 8 years,4 to 5 years,9,10,Spaces,Android Studio,Agile; Scrum; Extreme; Pair; Kanban,Male,A master's degree,White or of European descent,6.60E+04
34923,Professional developer,Some college/university study without earning a bachelor's degree,Computer engineering or electrical/electronics engineering,"Less than half the time, but at least one day each week",20 to 99 employees,"Privately-held limited company, not in startup mode",19 to 20 years,20 or more years,9,9,NA,NA,NA,NA,NA,NA,1.35E+05
34942,Professional developer,Bachelor's degree,A non-computer-focused engineering discipline,It's complicated,100 to 499 employees,Something else,15 to 16 years,11 to 12 years,6,7,Both,Visual Studio,NA,Female,A master's degree,White or of European descent,8.40E+04
34951,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",19 to 20 years,9 to 10 years,8,8,NA,NA,NA,NA,NA,NA,1.26E+05
34956,Professional developer,Bachelor's degree,Something else,Never,10 to 19 employees,Publicly-traded corporation,4 to 5 years,1 to 2 years,4,4,Tabs,Visual Studio,Agile; Scrum,Male,"Some college/university study, no bachelor's degree",White or of European descent,6.00E+04
34969,Professional developer,Bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,Non-profit/non-governmental organization or private school/university,14 to 15 years,6 to 7 years,10,10,Spaces,Notepad++; Visual Studio; Visual Studio Code,NA,Male,A master's degree,White or of European descent,6.80E+04
34984,Professional developer,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","1,000 to 4,999 employees",Publicly-traded corporation,20 or more years,7 to 8 years,9,9,Tabs,Notepad++; Eclipse; Visual Studio,Agile; Scrum; Kanban,Male,A bachelor's degree,White or of European descent,8.70E+04
34994,Professional developer,Bachelor's degree,A natural science,Never,20 to 99 employees,Non-profit/non-governmental organization or private school/university,20 or more years,20 or more years,7,6,Both,Notepad++,NA,Male,A master's degree,White or of European descent,63500
34998,Professional developer,Some college/university study without earning a bachelor's degree,A natural science,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",20 or more years,9 to 10 years,7,7,Tabs,Notepad++; Komodo; Visual Studio,Waterfall; Agile; Lean; Scrum; Pair; Kanban,Male,"Some college/university study, no bachelor's degree",White or of European descent,72051
35003,Professional developer,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",20 to 99 employees,I don't know,7 to 8 years,2 to 3 years,8,7,Spaces,Vim; PyCharm,Agile,NA,A professional degree,NA,6.20E+04
35005,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),"1,000 to 4,999 employees",Publicly-traded corporation,20 or more years,20 or more years,7,7,Tabs,IntelliJ; NetBeans; Visual Studio,Agile; Domain-driven design,Male,High school,White or of European descent,7.20E+04
35009,Professional developer,Bachelor's degree,Computer science or software engineering,Never,"5,000 to 9,999 employees",Publicly-traded corporation,19 to 20 years,17 to 18 years,4,3,Spaces,Sublime Text; Eclipse; Visual Studio,NA,Male,A master's degree,White or of European descent,1.10E+05
35010,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,I don't know,8 to 9 years,6 to 7 years,7,5,Both,Notepad++; Visual Studio; Visual Studio Code,NA,Male,A bachelor's degree,Hispanic or Latino/Latina,1.06E+05
35019,Professional developer,Some college/university study without earning a bachelor's degree,Computer programming or Web development,All or almost all the time (I'm full-time remote),"1,000 to 4,999 employees",Publicly-traded corporation,19 to 20 years,18 to 19 years,10,9,Spaces,Atom; Vim; PyCharm,Waterfall; Agile; Lean; Scrum; Extreme; Pair; Kanban,Male,A bachelor's degree,White or of European descent,1.23E+05
35022,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees",Publicly-traded corporation,20 or more years,15 to 16 years,9,9,Tabs,Visual Studio,Agile; Scrum,Male,A doctoral degree,White or of European descent,1.22E+05
35036,Professional developer,Bachelor's degree,A humanities discipline,"Less than half the time, but at least one day each week","10,000 or more employees",Publicly-traded corporation,20 or more years,9 to 10 years,9,7,Spaces,Atom; Vim,NA,Male,A bachelor's degree,White or of European descent,1.20E+05
35038,Professional developer,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,5 to 6 years,3 to 4 years,10,8,Spaces,Atom; Sublime Text; Vim; Android Studio,Agile; Scrum; Pair,Female,A bachelor's degree,Black or of African descent,1.15E+05
35047,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,500 to 999 employees,Venture-funded startup,20 or more years,15 to 16 years,9,9,Both,Notepad++,NA,Male,"Some college/university study, no bachelor's degree",White or of European descent,9.50E+04
35051,Professional developer,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",10 to 19 employees,Venture-funded startup,3 to 4 years,2 to 3 years,9,9,Spaces,Sublime Text; Vim,Agile; Pair,Female,A bachelor's degree,Hispanic or Latino/Latina,85
35060,Professional developer,Some college/university study without earning a bachelor's degree,Fine arts or performing arts,A few days each month,500 to 999 employees,Publicly-traded corporation,18 to 19 years,18 to 19 years,8,9,Spaces,Atom; Vim,Agile; Scrum; Kanban,Male,High school,White or of European descent,1.35E+05
35070,Professional developer,Bachelor's degree,Mathematics or statistics,A few days each month,"10,000 or more employees",Publicly-traded corporation,10 to 11 years,5 to 6 years,7,7,Spaces,Emacs; IntelliJ,Agile; Scrum; Pair,Male,A professional degree,South Asian; White or of European descent,1.22E+05
35082,Professional developer,Bachelor's degree,Computer science or software engineering,Never,"5,000 to 9,999 employees","Privately-held limited company, not in startup mode",7 to 8 years,3 to 4 years,7,4,Both,Vim; IntelliJ; PyCharm; Visual Studio; Visual Studio Code,Agile; Scrum; Pair; Kanban,Male,A bachelor's degree,White or of European descent,9.60E+04
35085,Professional developer,Some college/university study without earning a bachelor's degree,A non-computer-focused engineering discipline,All or almost all the time (I'm full-time remote),Fewer than 10 employees,Pre-series A startup,20 or more years,11 to 12 years,7,6,Spaces,Sublime Text; Vim,Waterfall; Agile; Scrum; Evidence-based SWE,Male,A bachelor's degree,White or of European descent,1.30E+05
35102,Professional developer,Master's degree,Management information systems,A few days each month,"10,000 or more employees",Publicly-traded corporation,20 or more years,20 or more years,9,9,Spaces,Notepad++; Sublime Text; Visual Studio; Visual Studio Code,Agile; Lean; Scrum; Extreme; Pair; Kanban; Domain-driven design,Male,A bachelor's degree,White or of European descent,1.50E+05
35110,Professional developer,Some college/university study without earning a bachelor's degree,Fine arts or performing arts,All or almost all the time (I'm full-time remote),I don't know,Publicly-traded corporation,20 or more years,17 to 18 years,4,4,Tabs,Visual Studio,NA,Male,I don't know/not sure,White or of European descent,8.20E+04
35121,Professional developer,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","10,000 or more employees",Publicly-traded corporation,10 to 11 years,8 to 9 years,8,4,Tabs,Notepad++; Visual Studio,NA,Male,High school,East Asian,1.10E+05
35127,Professional developer,Bachelor's degree,"Information technology, networking, or system administration",A few days each month,100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",19 to 20 years,16 to 17 years,8,6,Spaces,Notepad++; Visual Studio; Visual Studio Code,Agile; Scrum; Pair,Male,A master's degree,White or of European descent,1.56E+05
35130,Professional developer,Bachelor's degree,A natural science,A few days each month,20 to 99 employees,Publicly-traded corporation,7 to 8 years,3 to 4 years,7,7,Both,Notepad++; Visual Studio,Agile; Scrum; Pair,Male,A bachelor's degree,White or of European descent,8.80E+04
35170,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,"5,000 to 9,999 employees","Privately-held limited company, not in startup mode",5 to 6 years,Less than a year,6,3,Spaces,Sublime Text; PHPStorm; Visual Studio Code,Agile; Lean; Scrum,Male,High school,White or of European descent,9.00E+04
35178,Professional developer,Master's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees",Government agency or public school/university,9 to 10 years,5 to 6 years,5,6,Tabs,Emacs; Vim; NetBeans; Visual Studio,NA,Female,A master's degree,South Asian,1.00E+04
35240,Professional developer,Secondary school,NA,A few days each month,Fewer than 10 employees,"Privately-held limited company, not in startup mode",12 to 13 years,Less than a year,10,9,Tabs,Atom; Notepad++; Visual Studio Code,NA,Male,A master's degree,White or of European descent,46800
35244,Professional developer,Bachelor's degree,Computer programming or Web development,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Less than a year,7,7,Tabs,Sublime Text; Xcode,NA,Male,A bachelor's degree,Black or of African descent,4.10E+04
35898,Professional developer,Some college/university study without earning a bachelor's degree,Computer programming or Web development,A few days each month,10 to 19 employees,Government agency or public school/university,20 or more years,20 or more years,9,10,Spaces,NA,Agile,Male,A bachelor's degree,White or of European descent,9.20E+04
35937,Professional developer,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",6 to 7 years,2 to 3 years,8,8,Spaces,Visual Studio; Visual Studio Code,Agile,Male,A bachelor's degree,NA,7.00E+04
36008,Professional developer,Master's degree,Computer science or software engineering,Never,"10,000 or more employees",Publicly-traded corporation,20 or more years,8 to 9 years,7,4,Spaces,Notepad++; Sublime Text,NA,Male,A master's degree,White or of European descent,8.50E+04
36023,Professional developer,Bachelor's degree,A social science,A few days each month,500 to 999 employees,"Privately-held limited company, not in startup mode",4 to 5 years,4 to 5 years,7,7,Spaces,Sublime Text; Vim; IntelliJ; IPython / Jupyter; PyCharm,NA,Male,A professional degree,White or of European descent,1.15E+05
36024,Professional developer,Bachelor's degree,Management information systems,All or almost all the time (I'm full-time remote),"10,000 or more employees","Privately-held limited company, not in startup mode",20 or more years,14 to 15 years,7,7,Tabs,Notepad++; Visual Studio,Waterfall; Agile; Domain-driven design,Male,A bachelor's degree,White or of European descent,1.09E+05
36098,Professional developer,Master's degree,"Information technology, networking, or system administration",It's complicated,"10,000 or more employees",Non-profit/non-governmental organization or private school/university,17 to 18 years,10 to 11 years,9,7,Tabs,Notepad++; NetBeans; PHPStorm,NA,Male,High school,White or of European descent,9.80E+04
36104,Professional developer,Master's degree,"Information technology, networking, or system administration",A few days each month,"10,000 or more employees",Non-profit/non-governmental organization or private school/university,20 or more years,15 to 16 years,8,8,Both,Notepad++; Vim; NetBeans; Visual Studio,NA,Male,A master's degree,White or of European descent,8.50E+04
36117,Professional developer,Master's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,10 to 11 years,6 to 7 years,8,8,Spaces,Vim; IntelliJ; IPython / Jupyter,NA,Male,A master's degree,White or of European descent,1.60E+05
36118,Professional developer,Bachelor's degree,Mathematics or statistics,"Less than half the time, but at least one day each week",100 to 499 employees,"Privately-held limited company, not in startup mode",20 or more years,20 or more years,8,9,Spaces,Vim,Waterfall; Scrum,Male,"Some college/university study, no bachelor's degree",White or of European descent,1.00E+05
36120,Professional developer,Master's degree,Computer science or software engineering,"More than half, but not all, the time","1,000 to 4,999 employees",Publicly-traded corporation,20 or more years,15 to 16 years,8,7,Spaces,Notepad++; Sublime Text; PHPStorm,Agile; Kanban,Male,A master's degree,White or of European descent,1.50E+05
36133,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",4 to 5 years,Less than a year,8,8,Both,Notepad++; Eclipse,Agile; Scrum,Male,A bachelor's degree,White or of European descent,6.20E+04
36138,Professional developer,Some college/university study without earning a bachelor's degree,A humanities discipline,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",10 to 11 years,4 to 5 years,8,9,Tabs,PHPStorm; Xcode,NA,Male,"Some college/university study, no bachelor's degree",White or of European descent,2.90E+04
36152,Professional developer,Doctoral degree,Fine arts or performing arts,All or almost all the time (I'm full-time remote),"5,000 to 9,999 employees",Publicly-traded corporation,9 to 10 years,2 to 3 years,7,7,Spaces,Sublime Text; Vim; IntelliJ; IPython / Jupyter,NA,Male,A master's degree,White or of European descent,8.00E+04
36165,Professional developer,Bachelor's degree,Computer science or software engineering,Never,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",8 to 9 years,5 to 6 years,7,8,Both,Atom; Notepad++,Agile; Scrum; Extreme,Male,A bachelor's degree,White or of European descent,5.50E+04
36199,Professional developer,Bachelor's degree,Computer programming or Web development,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",4 to 5 years,1 to 2 years,7,8,Both,Notepad++; Visual Studio; Visual Studio Code,Agile; Scrum; Pair; Kanban,Male,A bachelor's degree,White or of European descent,5.00E+04
36202,Professional developer,Bachelor's degree,A business discipline,Never,"10,000 or more employees",Publicly-traded corporation,1 to 2 years,Less than a year,8,9,Tabs,Atom; Sublime Text; IntelliJ; RubyMine,Agile; Lean; Scrum; Extreme; Pair,Male,A bachelor's degree,White or of European descent,7.00E+04
36241,Professional developer,Bachelor's degree,Fine arts or performing arts,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",3 to 4 years,2 to 3 years,10,10,Tabs,Vim; PHPStorm; PyCharm,Agile; Pair,Male,A bachelor's degree,NA,4.00E+04
36249,Professional developer,Bachelor's degree,Computer programming or Web development,A few days each month,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",11 to 12 years,7 to 8 years,10,10,Tabs,Atom,Agile; Scrum; Pair; Kanban,NA,NA,NA,7.50E+04
36255,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,Fewer than 10 employees,"Sole proprietorship or partnership, not in startup mode",3 to 4 years,2 to 3 years,6,7,Spaces,Notepad++; Sublime Text,Scrum,Male,A master's degree,White or of European descent,2.70E+04
36279,Professional developer,Master's degree,Computer science or software engineering,A few days each month,500 to 999 employees,"Privately-held limited company, not in startup mode",16 to 17 years,11 to 12 years,5,2,Spaces,Atom; Coda; Vim,Agile; Kanban,Male,"Some college/university study, no bachelor's degree",Black or of African descent,1.30E+05
36287,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","1,000 to 4,999 employees",Publicly-traded corporation,20 or more years,4 to 5 years,8,8,Tabs,Eclipse,NA,Male,"Some college/university study, no bachelor's degree",White or of European descent,5.10E+04
36289,Professional developer,Bachelor's degree,A natural science,All or almost all the time (I'm full-time remote),Fewer than 10 employees,Venture-funded startup,5 to 6 years,4 to 5 years,7,7,Tabs,Sublime Text; RStudio,Agile; Pair,Female; Gender non-conforming,A doctoral degree,White or of European descent,5.60E+04
36290,Professional developer,Master's degree,Something else,Never,10 to 19 employees,"Privately-held limited company, not in startup mode",20 or more years,15 to 16 years,9,8,Tabs,Visual Studio,NA,Male,"Some college/university study, no bachelor's degree",I prefer not to say,1.20E+05
36294,Professional developer,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",20 or more years,15 to 16 years,8,9,Tabs,Android Studio; Visual Studio; Xcode,Waterfall; Agile; Scrum; Kanban,Female,High school,White or of European descent,9.00E+04
36295,Professional developer,Bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees",Publicly-traded corporation,6 to 7 years,1 to 2 years,9,9,Spaces,Notepad++; Eclipse,Waterfall; Agile,Male,A bachelor's degree,White or of European descent,6.00E+04
36304,Professional developer,Secondary school,NA,All or almost all the time (I'm full-time remote),"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",1 to 2 years,Less than a year,9,8,Tabs,Android Studio; Visual Studio; Visual Studio Code; Xcode,NA,Male,A bachelor's degree,White or of European descent,3.40E+04
36309,Professional developer,Bachelor's degree,Fine arts or performing arts,About half the time,Fewer than 10 employees,Venture-funded startup,1 to 2 years,1 to 2 years,9,5,Both,Sublime Text,Agile; Scrum; Pair,Female,A master's degree,Hispanic or Latino/Latina; White or of European descent,1.00E+05
36327,Professional developer,Some college/university study without earning a bachelor's degree,Computer engineering or electrical/electronics engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",20 or more years,20 or more years,10,10,Spaces,Visual Studio; Visual Studio Code,NA,Male,"Some college/university study, no bachelor's degree",Hispanic or Latino/Latina; White or of European descent,1.20E+05
36332,Professional developer,Bachelor's degree,Computer science or software engineering,Never,"5,000 to 9,999 employees",Publicly-traded corporation,9 to 10 years,4 to 5 years,8,5,Spaces,Notepad++; Eclipse; NetBeans; Visual Studio,Waterfall; Agile; Scrum; Pair,Male,A bachelor's degree,White or of European descent,69995
36336,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",10 to 11 years,8 to 9 years,7,7,Spaces,Notepad++; Android Studio; Visual Studio; Xcode,Agile; Scrum; Pair; Mob; Kanban; Domain-driven design,Male,A bachelor's degree,White or of European descent,7.30E+04
36355,Professional developer,Bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees",Publicly-traded corporation,8 to 9 years,2 to 3 years,9,9,Tabs,PHPStorm; Visual Studio,Agile; Pair; Kanban,Male,High school,White or of European descent,8.00E+04
36359,Professional developer,Bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees",Publicly-traded corporation,5 to 6 years,Less than a year,8,7,Both,Atom; IntelliJ,Agile; Lean; Scrum; Pair,Male,A bachelor's degree,South Asian,1.12E+05
36389,Professional developer,Bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees",Publicly-traded corporation,20 or more years,15 to 16 years,10,9,Tabs,Visual Studio,NA,Male,A master's degree,White or of European descent,9.10E+04
36397,Professional developer,Bachelor's degree,A natural science,A few days each month,I don't know,Non-profit/non-governmental organization or private school/university,20 or more years,20 or more years,8,8,Both,Notepad++; Vim; Komodo,Pair,Male,I prefer not to answer,Hispanic or Latino/Latina,7.50E+04
36410,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",20 or more years,20 or more years,6,9,Tabs,Sublime Text,NA,Male,High school,White or of European descent,8.50E+04
36422,Professional developer,Master's degree,Management information systems,All or almost all the time (I'm full-time remote),"10,000 or more employees",Publicly-traded corporation,20 or more years,5 to 6 years,6,5,Tabs,Vim; PHPStorm,Agile; Lean; Scrum; Kanban,Male,A bachelor's degree,White or of European descent,1.30E+05
36429,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,It's complicated,100 to 499 employees,I don't know,2 to 3 years,1 to 2 years,10,8,Spaces,Atom; Vim; Eclipse; NetBeans; Visual Studio Code; Xcode,Agile; Scrum; Pair,Male,High school,Hispanic or Latino/Latina,5.50E+04
36435,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,Venture-funded startup,19 to 20 years,11 to 12 years,7,6,NA,NA,NA,NA,NA,NA,1.45E+05
36441,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",20 or more years,3 to 4 years,8,6,Both,Eclipse,NA,Male,A master's degree,White or of European descent,7.50E+04
36442,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,10 to 19 employees,I prefer not to answer,5 to 6 years,1 to 2 years,8,7,Tabs,Notepad++; Visual Studio,Agile; Scrum; Pair; Kanban,Male,A bachelor's degree,White or of European descent,7.00E+04
36453,Professional developer,Bachelor's degree,Computer science or software engineering,Never,"1,000 to 4,999 employees",I don't know,7 to 8 years,4 to 5 years,6,6,Tabs,Atom; Notepad++; Sublime Text; Eclipse; Visual Studio,Agile; Scrum; Pair,Male,High school,White or of European descent,8.40E+04
36457,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,20 or more years,20 or more years,9,6,Both,Vim; IntelliJ,Agile; Scrum; Pair; Kanban,Male,A bachelor's degree,White or of European descent,1.40E+05
36473,Professional developer,Bachelor's degree,"Information technology, networking, or system administration",Never,Fewer than 10 employees,"Privately-held limited company, not in startup mode",20 or more years,2 to 3 years,7,6,Tabs,Atom,Agile,Male,"Some college/university study, no bachelor's degree",White or of European descent,5.50E+04
36491,Professional developer,Master's degree,Computer science or software engineering,It's complicated,"10,000 or more employees",Publicly-traded corporation,20 or more years,20 or more years,8,7,Spaces,Vim; Eclipse,NA,Male,A bachelor's degree,White or of European descent,1.60E+05
36503,Professional developer,Bachelor's degree,Mathematics or statistics,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",4 to 5 years,3 to 4 years,8,7,Tabs,Visual Studio; Visual Studio Code,Waterfall; Agile; Scrum,Male,A bachelor's degree,White or of European descent,8.60E+04
36514,Professional developer,Master's degree,A humanities discipline,It's complicated,"1,000 to 4,999 employees",Government agency or public school/university,15 to 16 years,10 to 11 years,8,9,Tabs,Notepad++,NA,Female,A bachelor's degree,White or of European descent,5.50E+04
36515,Professional developer,Master's degree,Computer science or software engineering,"More than half, but not all, the time",20 to 99 employees,Government agency or public school/university,9 to 10 years,6 to 7 years,8,5,Spaces,Sublime Text; Visual Studio,Waterfall; Agile; Scrum; Extreme; Evidence-based SWE,Male,A professional degree,White or of European descent,5.00E+04
36536,Professional developer,Master's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",6 to 7 years,6 to 7 years,8,6,Tabs,NA,NA,NA,NA,NA,5.10E+04
36545,Professional developer,Bachelor's degree,A humanities discipline,A few days each month,"10,000 or more employees",Publicly-traded corporation,9 to 10 years,5 to 6 years,5,4,Spaces,Atom; PHPStorm,Agile; Scrum; Extreme,Female; Gender non-conforming,High school,White or of European descent,1.20E+05
36548,Professional developer,Master's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),20 to 99 employees,"Privately-held limited company, not in startup mode",20 or more years,20 or more years,7,8,Spaces,Emacs; IntelliJ,Pair,Male,A professional degree,White or of European descent,1.45E+05
36560,Professional developer,Master's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","10,000 or more employees",Publicly-traded corporation,8 to 9 years,4 to 5 years,9,8,Spaces,Notepad++; Sublime Text,Agile; Scrum; Pair; Kanban,Male,A bachelor's degree,White or of European descent,1.18E+05
36574,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,Venture-funded startup,5 to 6 years,1 to 2 years,10,6,Spaces,Atom; Vim,NA,Male,A bachelor's degree,White or of European descent,7.40E+04
36582,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,Fewer than 10 employees,"Sole proprietorship or partnership, not in startup mode",10 to 11 years,2 to 3 years,7,10,Tabs,Sublime Text; Visual Studio,Scrum,Female,"Some college/university study, no bachelor's degree",White or of European descent,6.50E+04
36583,Professional developer,Bachelor's degree,A social science,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",10 to 11 years,9 to 10 years,8,7,Tabs,Notepad++; Sublime Text; Vim; Android Studio,NA,Male,A bachelor's degree,White or of European descent,9.20E+04
36620,Professional developer,Master's degree,Computer science or software engineering,A few days each month,500 to 999 employees,Venture-funded startup,11 to 12 years,4 to 5 years,6,7,Spaces,NA,NA,NA,NA,NA,1.25E+05
36621,Professional developer,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","10,000 or more employees",I don't know,6 to 7 years,1 to 2 years,3,2,Spaces,Notepad++; Visual Studio,Agile,Male,A master's degree,White or of European descent,5.70E+04
36632,Professional developer,Some college/university study without earning a bachelor's degree,Mathematics or statistics,A few days each month,10 to 19 employees,"Sole proprietorship or partnership, not in startup mode",20 or more years,20 or more years,8,7,Tabs,Atom; Vim; Android Studio,NA,Male,"Some college/university study, no bachelor's degree",White or of European descent,3.00E+04
36694,Professional developer,Some college/university study without earning a bachelor's degree,A non-computer-focused engineering discipline,"Less than half the time, but at least one day each week",Fewer than 10 employees,"Privately-held limited company, not in startup mode",20 or more years,20 or more years,8,10,Both,Notepad++; Sublime Text; Eclipse,NA,Male,A professional degree,White or of European descent,1.15E+05
36699,Professional developer,Bachelor's degree,Computer science or software engineering,Never,"10,000 or more employees",Publicly-traded corporation,8 to 9 years,2 to 3 years,7,8,Spaces,Vim,Agile; Scrum; Pair,Male,A bachelor's degree,Hispanic or Latino/Latina; White or of European descent,1.18E+05
36736,Professional developer,Bachelor's degree,Computer science or software engineering,"More than half, but not all, the time",Fewer than 10 employees,"Privately-held limited company, not in startup mode",10 to 11 years,6 to 7 years,10,5,Spaces,Vim; Visual Studio,Waterfall; Kanban,Male,A bachelor's degree,White or of European descent,2.10E+04
36758,Professional developer,Some college/university study without earning a bachelor's degree,I never declared a major,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",20 or more years,16 to 17 years,8,9,Both,Atom; Sublime Text,NA,Male,A master's degree,White or of European descent,8.00E+04
37025,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",11 to 12 years,8 to 9 years,7,6,Tabs,Notepad++; IntelliJ; Visual Studio,Waterfall; Agile; Scrum; Pair; Kanban; Domain-driven design,Male,A bachelor's degree,White or of European descent,9.50E+04
37039,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,20 or more years,14 to 15 years,7,5,Spaces,Emacs; Visual Studio,Agile; Extreme,Male,A bachelor's degree,White or of European descent,1.35E+05
37052,Professional developer,Bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",17 to 18 years,12 to 13 years,2,0,Spaces,Notepad++; Eclipse,Agile; Scrum,Male,"Some college/university study, no bachelor's degree",White or of European descent,1.13E+05
37073,Professional developer,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",19 to 20 years,13 to 14 years,9,9,Both,Vim; Eclipse,Waterfall; Agile; Scrum,Male,A master's degree,White or of European descent,1.15E+05
37106,Professional developer,Bachelor's degree,Computer science or software engineering,Never,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",20 or more years,10 to 11 years,6,4,Spaces,Notepad++; NetBeans; PyCharm; Visual Studio,Pair,Male,A bachelor's degree,Black or of African descent,9.20E+04
37109,Professional developer,Master's degree,Computer science or software engineering,A few days each month,10 to 19 employees,"Sole proprietorship or partnership, not in startup mode",20 or more years,19 to 20 years,9,9,Spaces,Notepad++; Visual Studio; Visual Studio Code,Agile; Lean; Scrum; Kanban,Male,A master's degree,White or of European descent,1.40E+05
